SEX,FIRST NAME,NUMBER OF OCCURRENCES
GIRL,AUDREY,26
GIRL,AUDRIANNA,2
GIRL,AUDRINA,1
GIRL,AUDRIYANA,1
GIRL,AUDYSSEY,1
GIRL,AUGUST,2
GIRL,AULANI,1
GIRL,AUNYSTI,1
GIRL,AURELIA,3
GIRL,AURIE,1
GIRL,AURORA,14
GIRL,A'URORA,1
GIRL,AUSTEN,2
GIRL,AUSTIN,1
GIRL,AUSTYN,1
GIRL,AUTRY,1
GIRL,AUTUMN,10
GIRL,AVA,73
GIRL,AVA CORALINE,1
GIRL,AVAE',1
GIRL,AVAH,1
GIRL,AVALYN,3
GIRL,AVALYNN,2
GIRL,AVANI,1
GIRL,AVANTI,1
GIRL,AVANYA,1
GIRL,AVARY,1
GIRL,AVE,1
GIRL,AVELYN,1
GIRL,AVERI,1
GIRL,AVERIE,1
GIRL,AVERLEIGH,1
GIRL,AVERY,43
GIRL,AVIA,2
GIRL,AVIANAH,1
GIRL,AVIANNA,4
GIRL,AVIANNAH,3
GIRL,AVIE,1
GIRL,AVIERRE,1
GIRL,AVIGAIL,2
GIRL,AVILYN,1
GIRL,AVINNA,1
GIRL,AVNI,2
GIRL,AVRA,1
GIRL,AYA,1
GIRL,AYAH,1
GIRL,AYANA,1
GIRL,AYANI,1
GIRL,AYANNA,1
GIRL,AYDEN,1
GIRL,AYELET,2
GIRL,AYLA,5
GIRL,AYLEEN,5
GIRL,AYLEN,2
GIRL,AYLIN,13
GIRL,AYRA,1
GIRL,AYRIN,1
GIRL,AYSHA,1
GIRL,AYVA,2
GIRL,AYVAH,1
GIRL,AZALAYA,1
GIRL,AZALEA,6
GIRL,AZANIAH,1
GIRL,AZARIAH,3
GIRL,AZBAH,1
GIRL,AZENETH,1
GIRL,AZMA,1
GIRL,AZRAH,1
GIRL,AZRAHNAE,1
GIRL,AZUL,1
GIRL,AZURA,1
GIRL,A'ZYLAH,1
GIRL,BABETTE,1
GIRL,BAILEE,1
GIRL,BAILEY,13
GIRL,BAIN,1
GIRL,BAKER,1
GIRL,BARBARA,4
GIRL,BASMA,1
GIRL,BAYLEE,3
GIRL,BAYLEY,2
GIRL,BAYLI,1
GIRL,BEA,1
GIRL,BEATRICE,4
GIRL,BEATRIZ,3
GIRL,BEAUTI,1
GIRL,BEBEE,1
